PRODUTO;PRINCÍPIO ATIVO;LABORATÓRIO;TIPO DE PRODUTO (STATUS DO PRODUTO);TARJA
BUTILBROMETO DE ESCOPOLAMINA + DIPIRONA SÓDICA;"BUTILBROMETO DE ESCOPOLAMINA;DIPIRONA";HIPOLABOR FARMACEUTICA LTDA;Genérico;Tarja Vermelha
BYCAL;BICALUTAMIDA;ACCORD FARMACÊUTICA LTDA;Similar;Tarja Vermelha
BYETTA;EXENATIDA;ASTRAZENECA DO BRASIL LTDA;Novo (Referência);Tarja Vermelha
BYETTA;EXENATIDA;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;Novo (Referência);Tarja Vermelha
C- CÁLCIO;"ÁCIDO ASCÓRBICO;COLECALCIFEROL;CLORIDRATO DE PIRIDOXINA;CARBONATO DE CÁLCIO";EMS S/A;Específico;Tarja Vermelha
CAAB;CABAZITAXEL;ACCORD FARMACÊUTICA LTDA;Similar;Tarja Vermelha
CABAZITAXEL;CABAZITAXEL;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;Genérico;Tarja Vermelha
CABAZITAXEL;CABAZITAXEL;EUROFARMA LABORATÓRIOS S.A.;Genérico;Tarja Vermelha
CABAZITAXEL;CABAZITAXEL;ACCORD FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
CABAZRED;CABAZITAXEL;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;Similar;Tarja Vermelha
CABEREDUX;CABERGOLINA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;Similar;Tarja Vermelha
CABERGOLINA;CABERGOLINA;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;Genérico;Tarja Vermelha
CABERGOLINA;CABERGOLINA;EUROFARMA LABORATÓRIOS S.A.;Genérico;Tarja Vermelha
CABERGOLINA;CABERGOLINA;PRATI DONADUZZI & CIA LTDA;Genérico;Tarja Vermelha
CABERGOLINA;CABERGOLINA;SUN FARMACÊUTICA DO BRASIL LTDA;Genérico;Tarja Vermelha
CABERGOLINA;CABERGOLINA;ZODIAC PRODUTOS FARMACÊUTICOS S/A;Genérico;Tarja Vermelha
CABERGOLINA;CABERGOLINA;FUNDAÇÃO OSWALDO CRUZ;Genérico;Tarja Vermelha
CABERGOLINA;CABERGOLINA;FUNDAÇÃO BAIANA DE PESQ. CIENTIFICA E DESENV.  TECNOLOGICO, FORNECIMENTO E DISTRIBUIÇÃO DE MEDICAME;Genérico;Tarja Vermelha
CABERTRIX;CABERGOLINA;ZODIAC PRODUTOS FARMACÊUTICOS S/A;Similar;Tarja Vermelha
CABOMETYX;LEVOMALATO DE CABOZANTINIBE;BEAUFOUR IPSEN FARMACÊUTICA LTDA;Novo;Venda Livre
CADENZA;CANDESARTANA CILEXETILA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;Similar;Tarja Vermelha
CADUET;"BESILATO DE ANLODIPINO;ATORVASTATINA CÁLCICA";LABORATÓRIOS PFIZER LTDA;Novo;Tarja Vermelha
CAELYX;CLORIDRATO DE DOXORRUBICINA;JANSSEN-CILAG FARMACÊUTICA LTDA;Novo;Tarja Vermelha
CAFIASPIRINA;"ÁCIDO ACETILSALICÍLICO;CAFEÍNA";BAYER S.A.;Novo;Venda Livre
CAFILISADOR;DIPIRONA;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Novo;Venda Livre
CALAMED;"CÂNFORA;CLORIDRATO DE DIFENIDRAMINA;CALAMINA";CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Similar;Tarja Vermelha
CALAMYN;"CÂNFORA;CLORIDRATO DE DIFENIDRAMINA;CALAMINA";BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Similar;Tarja Vermelha
CALCICHELL;Produtos sem substância específica;ATIVUS FARMACÊUTICA LTDA;Específico;Tarja Vermelha
CALCIFERRIN;"FOSFATO DE CÁLCIO TRIBÁSICO;FLUORETO DE SÓDIO;ERGOCALCIFEROL;CLORETO DE CÁLCIO;CIANOCOBALAMINA";INDÚSTRIA FARMACÊUTICA SANTA TEREZINHA LTDA - EPP;Específico;Tarja Vermelha
CALCIGENOL;"FOSFATO DE CÁLCIO TRIBÁSICO;FLUORETO DE SÓDIO";SANOFI-AVENTIS FARMACÊUTICA LTDA;Novo (Referência);Tarja Vermelha
CALCIJEX;CALCITRIOL;ABBOTT LABORATÓRIOS DO BRASIL LTDA;Específico;Venda Livre
CALCIJEX;CALCITRIOL;ABBVIE FARMACÊUTICA LTDA.;Específico;Venda Livre
CALCIMEC D3;"COLECALCIFEROL;CARBONATO DE CÁLCIO";IMEC - INDÚSTRIA DE MEDICAMENTOS CUSTÓDIA LTDA;Específico;Tarja Vermelha
CALCIOFAR;"FOSFATO DE CÁLCIO TRIBÁSICO;FLUORETO DE SÓDIO;ERGOCALCIFEROL;CIANOCOBALAMINA";BELFAR LTDA;Específico;Tarja Vermelha
CALCIUM D3;"COLECALCIFEROL;CARBONATO DE CÁLCIO";NOVARTIS BIOCIENCIAS S.A;Novo;Tarja Vermelha
CALCIUM SANDOZ;"LACTOGLICONATO DE CÁLCIO;CARBONATO DE CÁLCIO";GLAXOSMITHKLINE BRASIL LTDA;Específico;Tarja Vermelha
CALCIUM SANDOZ + VITAMINA C LARANJA;"ÁCIDO ASCÓRBICO;LACTOGLICONATO DE CÁLCIO;CARBONATO DE CÁLCIO";GLAXOSMITHKLINE BRASIL LTDA;Específico;Tarja Vermelha
CALCORT;DEFLAZACORTE;SANOFI-AVENTIS FARMACÊUTICA LTDA;Novo (Referência);Tarja Vermelha
CALDÊ;"COLECALCIFEROL;CARBONATO DE CÁLCIO";MARJAN INDÚSTRIA E COMÉRCIO LTDA;Similar;Tarja Vermelha
CALDÊ;COLECALCIFEROL;MARJAN INDÚSTRIA E COMÉRCIO LTDA;Similar;Tarja Vermelha
CALDROX D;"COLECALCIFEROL;CARBONATO DE CÁLCIO";DROXTER INDUSTRIA, COMÉRCIO E PARTICIPAÇÕES LTDA;Específico;Tarja Vermelha
CALENDULA CONCRETA;ÓXIDO DE ZINCO;LABORATORIO SIMOES LTDA.;Similar;Venda Livre
CALMADOR;ÁCIDO ACETILSALICÍLICO;LABORATÓRIO SAÚDE LTDA;Similar;Venda Livre
CALMINEX ATLETA;NI;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Específico;Tarja Vermelha
CALMINEX H;NI;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;Específico;Tarja Vermelha
CALNATE;POLIESTIRENOSSULFONATO DE CÁLCIO;EUROFARMA LABORATÓRIOS S.A.;Similar;Tarja Vermelha sob restrição
CALQUENCE;ACALABRUTINIBE;ASTRAZENECA DO BRASIL LTDA;Novo;Venda Livre
CALSAN;CARBONATO DE CÁLCIO;NOVARTIS BIOCIENCIAS S.A;Específico;Tarja Vermelha
CALT;CLORIDRATO DE CINACALCETE;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;Similar;Tarja Preta
CALTRATE;"COLECALCIFEROL;CARBONATO DE CÁLCIO";WYETH INDÚSTRIA FARMACÊUTICA LTDA;Específico;Tarja Vermelha
CALTRATE 600 + D;"COLECALCIFEROL;CARBONATO DE CÁLCIO";WYETH INDÚSTRIA FARMACÊUTICA LTDA;Específico;Tarja Vermelha
CALTRATE 600 + D;"COLECALCIFEROL;CARBONATO DE CÁLCIO";LABORATÓRIOS PFIZER LTDA;Específico;Tarja Vermelha
CALTRATE 600 + M;"ÓXIDO DE ZINCO;ÓXIDO DE MAGNÉSIO;SULFATO DE MANGANÊS MONOIDRATADO;SULFATO CÚPRICO;COLECALCIFEROL;CARBONATO DE CÁLCIO";WYETH INDÚSTRIA FARMACÊUTICA LTDA;Específico;Tarja Vermelha
CALTRATE 600 + M;"ÓXIDO DE ZINCO;ÓXIDO DE MAGNÉSIO;SULFATO DE MANGANÊS MONOIDRATADO;COLECALCIFEROL;CARBONATO DE CÁLCIO";WYETH INDÚSTRIA FARMACÊUTICA LTDA;Específico;Tarja Vermelha
CALTRATE 600 + M;NI;LABORATÓRIOS PFIZER LTDA;Específico;Tarja Vermelha
CALTREN;NITRENDIPINO;LIBBS FARMACÊUTICA LTDA;Similar;Tarja Vermelha
CAMBEM;CAMBENDAZOL;UCI - FARMA INDÚSTRIA FARMACÊUTICA LTDA;Similar (Referência);Venda Livre
CAMOMILINA C;"ÁCIDO ASCÓRBICO;COLECALCIFEROL";THERASKIN FARMACEUTICA LTDA.;Novo;Tarja Vermelha
CAMPTOSAR;CLORIDRATO DE IRINOTECANO;LABORATÓRIOS PFIZER LTDA;Novo (Referência);Tarja Vermelha
CAMPTOSAR;CLORIDRATO DE IRINOTECANO;WYETH INDÚSTRIA FARMACÊUTICA LTDA;Novo (Referência);Tarja Vermelha
CANCIDAS;ACETATO DE CASPOFUNGINA;MERCK SHARP & DOHME FARMACEUTICA LTDA;Novo (Referência);Venda Livre
CANDECOR;CANDESARTANA CILEXETILA;NOVA QUIMICA FARMACÊUTICA S/A;Similar;Tarja Vermelha
CANDECOR HCT;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";NOVA QUIMICA FARMACÊUTICA S/A;Similar;Venda Livre
CANDEMED;CANDESARTANA CILEXETILA;GERMED FARMACEUTICA LTDA;Similar;Tarja Vermelha
CANDEMED HCT;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";GERMED FARMACEUTICA LTDA;Similar;Venda Livre
CANDERM;METRONIDAZOL;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Similar;Tarja Vermelha
CANDESARTANA CILEXETILA;CANDESARTANA CILEXETILA;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;Genérico;Tarja Vermelha
CANDESARTANA CILEXETILA;CANDESARTANA CILEXETILA;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
CANDESARTANA CILEXETILA;CANDESARTANA CILEXETILA;BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
CANDESARTANA CILEXETILA;CANDESARTANA CILEXETILA;NOVA QUIMICA FARMACÊUTICA S/A;Genérico;Tarja Vermelha
CANDESARTANA CILEXETILA;CANDESARTANA CILEXETILA;GERMED FARMACEUTICA LTDA;Genérico;Tarja Vermelha
CANDESARTANA CILEXETILA;CANDESARTANA CILEXETILA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
CANDESARTANA CILEXETILA;CANDESARTANA CILEXETILA;EMS S/A;Genérico;Tarja Vermelha
CANDESARTANA CILEXETILA + HIDROCLOROTIAZIDA;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";ALTHAIA S.A INDÚSTRIA FARMACÊUTICA;Genérico;Venda Livre
CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Genérico;Venda Livre
CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Venda Livre
CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";LIBBS FARMACÊUTICA LTDA;Genérico;Venda Livre
CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";NOVA QUIMICA FARMACÊUTICA S/A;Genérico;Venda Livre
CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";GERMED FARMACEUTICA LTDA;Genérico;Venda Livre
CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Venda Livre
CANDESARTANA CILEXETILA+HIDROCLOROTIAZIDA;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";EMS S/A;Genérico;Venda Livre
CANDESSA;CANDESARTANA CILEXETILA;MERCK S/A;Similar;Tarja Vermelha
CANDESSA;CANDESARTANA CILEXETILA;EMS SIGMA PHARMA LTDA;Similar;Tarja Vermelha
CANDESSA HCT;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";MERCK S/A;Similar;Venda Livre
CANDESSA HCT;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";EMS SIGMA PHARMA LTDA;Similar;Venda Livre
CANDICORT;"DIPROPIONATO DE BETAMETASONA;CETOCONAZOL";ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;Similar (Referência);Venda Livre
CANDIGRAN;"DIPROPIONATO DE BETAMETASONA;CETOCONAZOL";LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Similar;Venda Livre
CANDITRAT;NISTATINA;LABORATÓRIO TEUTO BRASILEIRO S/A;Similar;Venda Livre
CANDITRAT;NISTATINA;LABORATÓRIO TEUTO BRASILEIRO S/A;Similar (Referência);Tarja Vermelha
CANDORAL;CETOCONAZOL;ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;Similar (Referência);Venda Livre
CANESTEN;CLOTRIMAZOL;BAYER S.A.;Novo (Referência);Venda Livre
CANSARCOR;CANDESARTANA CILEXETILA;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Similar;Tarja Vermelha
CANSARCOR HCT;"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Similar;Venda Livre
CAPECARE;CAPECITABINA;SUN FARMACÊUTICA DO BRASIL LTDA;Similar;Venda Livre
CAPECITABINA;CAPECITABINA;SUN FARMACÊUTICA DO BRASIL LTDA;Genérico;Venda Livre
CAPELIV;CAPECITABINA;RANBAXY FARMACÊUTICA LTDA;Similar;Venda Livre
CAPILAREMA;AMINAFTONA;LABORATÓRIOS BALDACCI LTDA;Novo (Referência);Tarja Vermelha
CAPILAREMA;AMINAFTONA;LABORATÓRIOS BALDACCI LTDA;Novo;Tarja Vermelha
CAPOBAL;CAPTOPRIL;LABORATÓRIOS BALDACCI LTDA;Similar;Tarja Vermelha
CAPOTRAT;CAPTOPRIL;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Similar;Tarja Vermelha
CAPOTRINEO;CAPTOPRIL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Similar;Tarja Vermelha
CAPOX;CAPTOPRIL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Similar;Tarja Vermelha
CAPRELSA;VANDETANIBE;ASTRAZENECA DO BRASIL LTDA;Novo;Venda Livre
CAPRELSA;VANDETANIBE;SANOFI-AVENTIS FARMACÊUTICA LTDA;Novo;Venda Livre
CAPRELSA;VANDETANIBE;GENZYME DO BRASIL LTDA;Novo;Venda Livre
CAPSFEN;IBUPROFENO;CATALENT BRASIL LTDA.;Novo (Referência);Venda Livre
CAPTOCORD;CAPTOPRIL;LABORATÓRIO GLOBO LTDA;Similar;Tarja Vermelha
CAPTOLAB;CAPTOPRIL;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;Similar;Tarja Vermelha
CAPTOMED;CAPTOPRIL;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Similar;Tarja Vermelha
CAPTOMIDO;CAPTOPRIL;BELFAR LTDA;Similar;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;AUROBINDO PHARMA INDÚSTRIA FARMACÊUTICA LIMITADA;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;BRASTERAPICA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;EMS S/A;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIGUEL ARRAES S/A - LAFEPE;Similar;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;LABORATÓRIO GLOBO LTDA;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;GERMED FARMACEUTICA LTDA;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;1FARMA INDUSTRIA FARMACEUTICA LTDA;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;PRATI DONADUZZI & CIA LTDA;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;MARIOL INDUSTRIAL LTDA;Genérico;Tarja Vermelha
CAPTOPRIL;CAPTOPRIL;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
CAPTOSEN;CAPTOPRIL;PHARLAB INDÚSTRIA FARMACÊUTICA S.A.;Similar (Referência);Tarja Vermelha
CAPTOTEC;CAPTOPRIL;SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA;Similar;Tarja Vermelha
CAPYLA-HAIR;FINASTERIDA;EMS SIGMA PHARMA LTDA;Similar;Tarja Vermelha
CARBAMAZEPINA;CARBAMAZEPINA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Venda Livre
CARBAMAZEPINA;CARBAMAZEPINA;EMS S/A;Genérico;Venda Livre
CARBAMAZEPINA;CARBAMAZEPINA;HIPOLABOR FARMACEUTICA LTDA;Genérico;Venda Livre
CARBAMAZEPINA;CARBAMAZEPINA;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Venda Livre
CARBAMAZEPINA;CARBAMAZEPINA;BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Venda Livre
CARBAMAZEPINA;CARBAMAZEPINA;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Venda Livre
CARBAMAZEPINA;CARBAMAZEPINA;GERMED FARMACEUTICA LTDA;Genérico;Venda Livre
CARBAMAZEPINA;CARBAMAZEPINA;SANVAL COMÉRCIO E INDÚSTRIA LTDA;Genérico;Venda Livre
CARBAMAZEPINA;CARBAMAZEPINA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Genérico;Venda Livre
CARBAMAZEPINA  (PORT 344/98 LISTA C1);CARBAMAZEPINA;GERMED FARMACEUTICA LTDA;Genérico;Venda Livre
CARBIDOL;"LEVODOPA;CARBIDOPA";LABORATÓRIO TEUTO BRASILEIRO S/A;Similar;Tarja Vermelha
CARBIDOL;NI;LABORATÓRIO TEUTO BRASILEIRO S/A;Similar;Tarja Vermelha
CARBIDOPA / LEVODOPA;"LEVODOPA;CARBIDOPA";BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
CARBITAL;FENOBARBITAL SÓDICO;LABORATÓRIO TEUTO BRASILEIRO S/A;Similar;Venda Livre
CARBOCIN;CARBOCISTEÍNA;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Similar;Venda Livre
CARBOCISTEINA;CARBOCISTEÍNA;EMS S/A;Genérico;Venda Livre
CARBOCISTEINA;CARBOCISTEÍNA;BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Venda Livre
CARBOCISTEINA;CARBOCISTEÍNA;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Venda Livre
CARBOCISTEINA;CARBOCISTEÍNA;GERMED FARMACEUTICA LTDA;Genérico;Venda Livre
CARBOCISTEÍNA;CARBOCISTEÍNA;BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Venda Livre
CARBOCISTEÍNA;CARBOCISTEÍNA;CIMED INDÚSTRIA DE MEDICAMENTOS LTDA;Genérico;Venda Livre
CARBOCISTEÍNA;CARBOCISTEÍNA;GEOLAB INDÚSTRIA FARMACÊUTICA S/A;Genérico;Venda Livre
CARBOCISTEÍNA;CARBOCISTEÍNA;LABORATÓRIO TEUTO BRASILEIRO S/A;Genérico;Venda Livre
CARBOCISTEÍNA;CARBOCISTEÍNA;BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Venda Livre
CARBOCISTEÍNA;CARBOCISTEÍNA;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;Genérico;Venda Livre
CARBOCISTEÍNA;CARBOCISTEÍNA;NOVA QUIMICA FARMACÊUTICA S/A;Genérico;Venda Livre
CARBOCISTEÍNA;CARBOCISTEÍNA;PRATI DONADUZZI & CIA LTDA;Genérico;Venda Livre
CARBOCISTEÍNA;CARBOCISTEÍNA;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;Genérico;Venda Livre
CARBOCISTEÍNA;CARBOCISTEÍNA;NATIVITA IND. COM. LTDA.;Genérico;Venda Livre
CARBOLITIUM;CARBONATO DE LÍTIO;EUROFARMA LABORATÓRIOS S.A.;Novo (Referência);Tarja Preta
CARBOLITIUM;CARBONATO DE LÍTIO;EUROFARMA LABORATÓRIOS S.A.;Novo (Referência);Tarja Vermelha
CARBONATO DE CÁLCIO + COLECALCIFEROL (VITAMINA D3);"COLECALCIFEROL;CARBONATO DE CÁLCIO";ALTHAIA S.A INDÚSTRIA FARMACÊUTICA;Específico;Tarja Vermelha
CARBONATO DE LÍTIO;CARBONATO DE LÍTIO;BIOLAB FARMA GENERICOS LTDA;Genérico;Tarja Vermelha
CARBONATO DE LÍTIO;CARBONATO DE LÍTIO;HIPOLABOR FARMACEUTICA LTDA;Genérico;Tarja Vermelha
CARBOPLATINA;CARBOPLATINA;GLENMARK FARMACÊUTICA LTDA;Genérico (Referência);Tarja Vermelha
CARBOPLATINA;CARBOPLATINA;GLENMARK FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
CARBOPLATINA;CARBOPLATINA;ACCORD FARMACÊUTICA LTDA;Genérico;Tarja Vermelha
CARDBET;CARVEDILOL;NOVA QUIMICA FARMACÊUTICA S/A;Similar;Tarja Preta
CARDBET;CARVEDILOL;EMS S/A;Similar;Tarja Preta
CARDCOR;DIGOXINA;LABORATÓRIO TEUTO BRASILEIRO S/A;Similar;Tarja Vermelha
CARDICORON;CLORIDRATO DE AMIODARONA;LABORATÓRIO TEUTO BRASILEIRO S/A;Similar;Tarja Vermelha
CARDILOL;CARVEDILOL;LIBBS FARMACÊUTICA LTDA;Similar;Tarja Preta
CARDIOXANE;CLORIDRATO DE DEXRAZOXANO;ZODIAC PRODUTOS FARMACÊUTICOS S/A;Novo;Tarja Vermelha
CARDIZEM;CLORIDRATO DE DILTIAZEM;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;Novo (Referência);Tarja Vermelha
CARDIZEM CD;CLORIDRATO DE DILTIAZEM;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;Novo (Referência);Tarja Vermelha
CARDIZEM SR;CLORIDRATO DE DILTIAZEM;BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.;Novo (Referência);Tarja Vermelha
CARDURAN;MESILATO DE DOXAZOSINA;WYETH INDÚSTRIA FARMACÊUTICA LTDA;Novo (Referência);Tarja Vermelha
CARDURAN XL;MESILATO DE DOXAZOSINA;LABORATÓRIOS PFIZER LTDA;Novo;Tarja Vermelha
CARDVITA;LOSARTANA POTÁSSICA;LABORIS FARMACEUTICA LTDA;Similar;Tarja Vermelha
CARISOPRODOL+DICLOFENACO SÓDICO+PARACETAMOL+CAFEÍNA;"PARACETAMOL;DICLOFENACO SÓDICO;CARISOPRODOL;CAFEÍNA";BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Genérico;Tarja Preta
CARLIT;CARBONATO DE LÍTIO;SUPERA FARMA LABORATÓRIOS S.A;Similar;Tarja Vermelha
CARNABOL;CIANOCOBALAMINA;Aché Laboratórios Farmacêuticos S.A;Específico;Tarja Vermelha
CARTRAX;"TIOCONAZOL;TINIDAZOL";LABORATÓRIOS PFIZER LTDA;Novo (Referência);Tarja Vermelha
CARTRAX;"TIOCONAZOL;TINIDAZOL";WYETH INDÚSTRIA FARMACÊUTICA LTDA;Novo (Referência);Tarja Vermelha
CARVEDILAT;CARVEDILOL;EMS SIGMA PHARMA LTDA;Similar;Tarja Preta
CARVEDILOL;CARVEDILOL;BIOLAB FARMA GENERICOS LTDA;Genérico;Tarja Preta
CARVEDILOL;CARVEDILOL;BIOLAB FARMA GENERICOS LTDA;Genérico (Referência);Tarja Preta
CARVEDILOL;CARVEDILOL;FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP;Genérico;Tarja Preta
CARVEDILOL;CARVEDILOL;BIOSINTÉTICA FARMACÊUTICA LTDA;Genérico;Tarja Preta
CARVEDILOL;CARVEDILOL;SANOFI MEDLEY FARMACÊUTICA LTDA.;Genérico;Tarja Preta
CARVEDILOL;CARVEDILOL;NOVA QUIMICA FARMACÊUTICA S/A;Genérico;Tarja Preta
CARVEDILOL;CARVEDILOL;GERMED FARMACEUTICA LTDA;Genérico;Tarja Preta
CARVEDILOL;CARVEDILOL;TORRENT DO BRASIL LTDA;Genérico;Tarja Preta
CARVEDILOL;CARVEDILOL;ACCORD FARMACÊUTICA LTDA;Genérico;Tarja Preta
CARVEDILOL;CARVEDILOL;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Genérico;Tarja Preta
CARVEDILOL;CARVEDILOL;EMS S/A;Genérico;Tarja Preta
CARVEGRAN;CARVEDILOL;LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Similar;Tarja Preta
CASODEX;BICALUTAMIDA;ASTRAZENECA DO BRASIL LTDA;Novo (Referência);Tarja Vermelha
